X,Y,FID,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
-70.5982924281231,-33.4646002444496,1302,"JOSE PEDRO ALESSANDRI & GRECIA, NUNOA",1,0,0,1,2
-70.5975830346277,-33.4335502292218,1303,"LUIS THAYER OJEDA & POCURO, PROVIDENCIA",0,0,0,1,1
-70.5979679217874,-33.4557123613347,1304,"77 JOSE PEDRO ALESSANDRI, NUNOA",0,0,0,1,1
-70.5978879880329,-33.4566332613791,1305,"DUBLE ALMEYDA & JOSE PEDRO ALESSANDRI, NUNOA",0,0,0,1,1
-70.5983819696873,-33.4964246559894,1306,"MACUL & LOS CISNES, MACUL",0,1,0,1,1
-70.5996530318058,-33.5812245645474,1307,"LAS LUNAS & PLEYADES, PUENTE ALTO",0,0,1,0,1
-70.5966276487225,-33.418970809209,1308,"CALLAO & AUGUSTO LEGUIA SUR, LAS CONDES",0,0,0,1,1
-70.596728459733,-33.4362216529595,1309,"FRANCISCO BILBAO & LUIS THAYER OJEDA, PROVIDENCIA",0,3,0,0,3
-70.5993055467103,-33.5816619282596,1310,"1503 GABRIELA, PUENTE ALTO",0,1,0,0,1
-70.5990268096716,-33.5741443823298,1311,"3893 EJERCITO LIBERTADOR, PUENTE ALTO",0,1,1,0,1
-70.595681400577,-33.3995753983983,1312,"FRANCISCO DE AGUIRRE & GENERAL JOHN O`BRIEN, VITACURA",0,0,0,1,1
-70.5963230506718,-33.4551924552268,1313,"3319 IRARRAZAVAL, NUNOA",0,0,0,1,1
-70.5967661565572,-33.4840453508225,1314,"3235 PREMIO NOBEL, MACUL",0,1,0,0,1
-70.5966572394094,-33.4833884189011,1315,"LAS MADRESELVAS & PREMIO NOBEL, MACUL",0,0,0,1,1
-70.5965834209854,-33.4822981563111,1316,"PREMIO NOBEL & LOS PLATANOS, MACUL",1,0,0,0,1
-70.5964608275585,-33.4767895542787,1317,"POCONCHILE & LOS ESPINOS, MACUL",0,0,0,2,1
-70.5983763387508,-33.5815206271246,1318,"1482 GABRIELA, PUENTE ALTO",0,0,0,1,1
-70.5959313841794,-33.4490830651611,1319,"3338 HOLANDA, NUNOA",0,1,0,0,1
-70.5956342716875,-33.4428461935649,1320,"CONSEJO DE INDIAS & EL AGUILUCHO, PROVIDENCIA",0,0,0,1,1
-70.596180970105,-33.485586000794,1321,"3471 QUILIN, MACUL",0,0,0,1,1
-70.594961979165,-33.4213911311104,1322,"PRESIDENTE ERRAZURIZ & UNAMUNO, LAS CONDES",0,1,0,0,1
-70.5966631490668,-33.5264956544118,1323,"VICENTE VALDES & VICUNA MACKENNA, LA FLORIDA",1,0,0,0,1
-70.5975014912866,-33.5814056715739,1324,"EJERCITO LIBERTADOR & GABRIELA, PUENTE ALTO",0,1,0,0,1
-70.5940044788128,-33.4019507613259,1325,"VITACURA & ALONSO DE CORDOVA, VITACURA",0,1,0,1,2
-70.5941897436786,-33.4250354673815,1326,"LAS ORQUIDEAS & CARLOS ANTUNEZ, PROVIDENCIA",0,0,0,3,2
-70.5970431114552,-33.5851811799572,1327,"EJERCITO LIBERTADOR & PADRE HURTADO, PUENTE ALTO",0,0,0,1,1
-70.593987230506,-33.4280772632758,1328,"ELIODORO YANEZ & CARLOS SILVA VILDOSOLA, PROVIDENCIA",0,0,0,1,1
-70.5942116065693,-33.4568068557513,1329,"HUMBERTO TRUCCO & DUBLE ALMEYDA, NUNOA",0,0,0,1,1
-70.5934728125559,-33.4181726732619,1330,"CALLAO & ENRIQUE FOSTER, LAS CONDES",0,0,1,1,1
-70.594227784633,-33.4647427777588,1331,"CAPITAN IGNACIO CARRERA PINTO & GRECIA, NUNOA",0,0,0,1,1
-70.5930254276653,-33.4001506367153,1332,"3820 CANDELARIA GOYENECHEA, VITACURA",0,0,0,1,1
-70.5939411199248,-33.4584877444665,1333,"357 DOCTOR JOHOW, NUNOA",0,0,0,1,1
-70.5938012835116,-33.4584895426123,1334,"356 DOCTOR JOHOW, NUNOA",0,0,0,1,1
-70.5927492824957,-33.4244858183556,1335,"MARTIN DE ZAMORA & MARIANO SANCHEZ FONTECILLA, LAS CONDES",0,0,0,1,1
-70.5931117743713,-33.451969129203,1336,"MANUEL DE SALAS & JOAQUIN WALKER MARTINEZ, NUNOA",0,0,0,1,1
-70.5946695931792,-33.5873581178465,1337,"OBISPO ENRIQUE ALVEAR & LUIS MATTE LARRAIN, PUENTE ALTO",0,0,0,1,1
-70.5908252564259,-33.3903397694671,1338,"MANUELA CANAS & FRANCISCO DE AGUIRRE, VITACURA",0,0,0,1,1
-70.5912494120453,-33.4177322632679,1339,"CALLAO & GERTRUDIS ECHENIQUE, LAS CONDES",0,0,0,1,1
-70.590820743482,-33.3977619912789,1340,"ESPOZ & FINLANDIA, VITACURA",0,0,0,1,1
-70.5949341486047,-33.6292258846396,1341,"LAS ACHIRAS & VALLE CENTRAL, PUENTE ALTO",0,0,0,0,1
-70.5926158564477,-33.5042456211262,1342,"MACUL & MARIA IRIARTE, MACUL",0,1,0,0,1
-70.5911473203113,-33.4262830040153,1343,"ELIODORO YANEZ & TOBALABA, LAS CONDES",0,0,0,1,1
-70.5903744710793,-33.3945120621527,1344,"AMERICO VESPUCIO NORTE & CANDELARIA GOYENECHEA, VITACURA",0,0,0,1,2
-70.5927492015659,-33.5356003709728,1345,"VICUNA MACKENNA & ROJAS MAGALLANES, LA FLORIDA",0,0,0,0,1
-70.5901480614924,-33.4316437203163,1346,"AMAPOLAS & POCURO, PROVIDENCIA",0,0,0,1,1
-70.5905058185686,-33.471274774088,1347,"CAPITAN IGNACIO CARRERA PINTO & JUAN MOYA MORALES, NUNOA",0,0,0,1,1
-70.5920470706854,-33.5577942172775,1348,"559 GENERAL ARRIAGADA, LA FLORIDA",0,0,0,1,1
-70.5924357360753,-33.580722466195,1349,"GABRIELA & JUAN DE DIOS MALEBRAN, PUENTE ALTO",0,1,0,7,4
-70.5908936964151,-33.4995511912785,1350,"DOCTOR AMADOR NEGHME RODRIGUEZ & SAN VICENTE DE PAUL, MACUL",0,0,0,3,3
-70.5908357429227,-33.5099139350834,1351,"DEPARTAMENTAL & AMERICO VESPUCIO, MACUL",0,0,0,1,1
-70.5884786845342,-33.3813153195054,1352,"5622 SANTA MARIA, VITACURA",0,0,0,1,1
-70.59158400577,-33.5578001727966,1353,"GENERAL ARRIAGADA & MANUTARA, LA FLORIDA",0,0,0,1,1
-70.5897114129381,-33.4554668093554,1354,"IRARRAZAVAL & PEDRO TORRES, NUNOA",0,0,0,1,1
