X,Y,FID,Ano,Codregion,Region,Comuna,Zona,Calle1,Calle2,Numero,lat,lng,Claseaccid,Cód_Comun,Cód_Tipo_,Tipo_Accid,Cód_Tipo1,Tipo__CONA,Cód_Zona,Zona_1,Cód_Ubica,Ubicación,Cód_Calle,Intersecci,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Atropellos
-70.701134,-33.489063,42,2019,13,REGION METROPOLITANA,CERRILLOS,URBANA,PEDRO AGUIRRE CERDA,PILOTO LAZO,NULL,-33.489063,-70.701134,1,13102,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131020397,PEDRO AGUIRRE CERDA - PILOTO LAZO,3,3,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-70.70108,-33.596958,43,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,JOSE JOAQUIN PEREZ,SAN JOSE,NULL,-33.596958,-70.70108,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,134010525,JOSE JOAQUIN PEREZ - SAN JOSE,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.700981,-33.465389,44,2019,13,REGION METROPOLITANA,ESTACION CENTRAL,URBANA,SAN JORGE,LEON XIII,NULL,-33.465389,-70.700981,1,13106,10,ATROPELLO,10,ATROPELLO,1,URBANA,16,CRUCE SIN SEÑALIZACION,131060681,LEON XIII - SAN JORGE,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.700813,-33.585152,45,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,BALMACEDA,NULL,500,-33.585152,-70.700813,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,134010107,- BALMACEDA,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.700813,-33.572956,46,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,LO BLANCO,AMERICA,NULL,-33.572956,-70.700813,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,134010680,AMERICA - LO BLANCO,2,2,2,BIDIRECCIONAL,2,ASFALTO,1,0,0,0,1
-70.700806,-33.439762,47,2019,13,REGION METROPOLITANA,QUINTA NORMA,URBANA,SAN PABLO,PROGRESO,NULL,-33.439762,-70.700806,1,13126,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131260354,PROGRESO - SAN PABLO,2,2,2,BIDIRECCIONAL,1,CONCRETO,0,1,0,0,2
-70.7007898,-33.4565408,48,2019,13,REGION METROPOLITANA,ESTACION CENTRAL,URBANA,LIBER BERNARDO O`HIGGINS,NULL,4848,-33.4565408,-70.7007898,1,13106,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131060407,- LIBER BERNARDO O`HIGGINS,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,1,0,0,1
-70.700287,-33.590508,49,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,COLON SUR,BULNES,NULL,-33.590508,-70.700287,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,134010260,BULNES - COLON SUR,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-70.700287,-33.578625,50,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,EYZAGUIRRE,NULL,684,-33.578625,-70.700287,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,134010401,- EYZAGUIRRE,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.700096,-33.593838,51,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,JOSE JOAQUIN PEREZ,ARTURO PRAT,NULL,-33.593838,-70.700096,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,134010525,ARTURO PRAT - JOSE JOAQUIN PEREZ,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-70.699883,-33.474159,52,2019,13,REGION METROPOLITANA,ESTACION CENTRAL,URBANA,MURTA,LUIS INFANTE CERDA,NULL,-33.474159,-70.699883,1,13106,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131060506,LUIS INFANTE CERDA - MURTA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,1,0,1
-70.699837,-33.570881,53,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,OCHAGAVIA,NULL,1824,-33.570881,-70.699837,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,134010843,- OCHAGAVIA,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-70.699562,-33.5867,54,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,PINTO,12 DE FEBRERO,NULL,-33.5867,-70.699562,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,16,CRUCE SIN SEÑALIZACION,134010923,12 DE FEBRERO - PINTO,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,2,1
-70.69928,-33.59568,55,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,BARROS ARANA,COVADONGA,NULL,-33.59568,-70.69928,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,134010115,BARROS ARANA - COVADONGA,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,3,3
-70.69915,-33.458351,56,2019,13,REGION METROPOLITANA,ESTACION CENTRAL,URBANA,RANGERS,SGTO ROJAS,NULL,-33.458351,-70.69915,1,13106,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131060653,RANGERS - SGTO ROJAS,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,1,0,1
-70.699104,-33.455898,57,2019,13,REGION METROPOLITANA,ESTACION CENTRAL,URBANA,LIBER BERNARDO O`HIGGINS,PURISIMA,NULL,-33.455898,-70.699104,1,13106,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131060407,LIBER BERNARDO O`HIGGINS - PURISIMA,4,4,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,1,1
-70.699081,-33.589882,58,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,SANTIAGO BENITEZ,COLON NORTE,NULL,-33.589882,-70.699081,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,16,CRUCE SIN SEÑALIZACION,134011102,COLON NORTE - SANTIAGO BENITEZ,1,0,1,UNIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
