X,Y,FID,Ano,Cod_Comuna,Comuna,Cod_Region,Region,Cod_TipoAc,TipoAccide,Cod_Zona,Zona,CalleUno,CalleDos,Numero,PistasdeId,PistasdeRe,Fallecidos,Graves,Menos_Grav,Leves,lat,lng,Atropellos
-70.747719,-33.478832,663,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,STA ELENA, ,414,1,1,0,0,0,1,-33.478832,-70.747719,1
-70.747597,-33.516186,664,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,SEGUNDA TRANSVERSAL,4 ALAMOS,0,1,1,0,4,1,0,-33.516186,-70.747597,4
-70.747269,-33.365181,665,2018,13125,QUILICURA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,SAN LUIS,VOLCAN LLAIMA,0,1,1,0,0,1,0,-33.365181,-70.747269,1
-70.746918,-33.480679,666,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LOS PAJARITOS, ,4500,3,3,1,0,0,1,-33.480679,-70.746918,2
-70.746834,-33.506958,667,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,1 SUR,SEGUNDA TRANSVERSAL,0,1,1,0,1,0,0,-33.506958,-70.746834,1
-70.746773,-33.43005,668,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,JOSE JOAQUIN PEREZ,SAN DANIEL,0,2,2,0,0,0,1,-33.43005,-70.746773,1
-70.746773,-33.362339,669,2018,13125,QUILICURA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,VOLCAN LLAIMA,MANUEL ANTONIO MATTA,0,1,1,0,0,1,1,-33.362339,-70.746773,1
-70.746742,-33.493717,670,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,AMERICO VESPUCIO,PRIMO DE RIVERA,0,3,3,0,0,0,1,-33.493717,-70.746742,1
-70.746681,-33.421776,671,2018,13103,CERRO NAVIA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,MAPOCHO NORTE, ,7815,2,0,0,1,0,0,-33.421776,-70.746681,1
-70.746376,-33.461178,672,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,MAR DE DRAKE,LAGUNA SUR,0,2,2,0,1,0,0,-33.461178,-70.746376,1
-70.745789,-33.368546,673,2018,13125,QUILICURA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LAS VIOLETAS, ,300,1,1,0,0,0,1,-33.368546,-70.745789,1
-70.7457351,-33.4968776,674,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,AMERICO VESPUCIO,RAFAEL RIESCO BERNALES,0,2,0,0,1,0,1,-33.4968776,-70.7457351,1
-70.745544,-33.481873,675,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LOS PAJARITOS,MONTE TABOR,0,3,3,0,0,0,1,-33.481873,-70.745544,1
