X,Y,FID,Intersecci,Comuna,Ciudad,Pais,Año,Clase,Cód_Comun,Región,Cód_Tipo,Tipo_Accid,Cód_Tip_1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Cód_Cal_1,Calle_Uno,Calle_Dos,Número,PiSANTAsde,PiSANTAs_1,Cód_Calza,Calzada,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.6850534489759,-33.452519422427,1801,LIBERTADOR BERNARDO O`HIGGINS @ OBISPO MANUEL UMANA SALINAS,ESTACION CENTRAL, , ,2017,1,13106,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131060407,131060066,LIBERTADOR BERNARDO O`HIGGINS,OBISPO MANUEL UMANA SALINAS, ,4,4,3,BIDIRECCIONAL CON BANDEJON,CONCRETO,0,0,0,0,1
-70.6849583536764,-33.3880317526859,1802,BARON DE JURAS REALES @ LOS ZAPADORES,CONCHALI, , ,2017,1,13104,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131040103,131040440,BARON DE JURAS REALES,LOS ZAPADORES, ,2,2,2,BIDIRECCIONAL,CONCRETO,0,0,0,1,1
-70.683924172731,-33.4494679041528,1803,LAS SOPHORAS @ EL BELLOTO,ESTACION CENTRAL, , ,2017,1,13106,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,16,CRUCE SIN SEÑALIZACION,131060393,131060170,LAS SOPHORAS,EL BELLOTO, ,2,2,2,BIDIRECCIONAL,CONCRETO,0,0,0,1,1
-70.683788,-33.436595,1804,3600 SAN PABLO,QUINTA NORMAL, , ,2017,1,13126,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131260354,0,SAN PABLO, ,3600,4,4,2,BIDIRECCIONAL,ASFALTO,0,0,1,0,1
-70.6837597382329,-33.5744188224752,1805,1193 TUCAPEL,EL BOSQUE, , ,2017,1,13105,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131050835,0,TUCAPEL, ,1193,2,2,2,BIDIRECCIONAL,CONCRETO,0,1,0,0,1
-70.6836974974606,-33.4364214249476,1806,SAN PABLO @ RIVAS VICUNA,QUINTA NORMAL, , ,2017,1,13126,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,4,ACERA O BERMA,131260354,131010546,SAN PABLO,RIVAS VICUNA, ,4, ,1,UNIDIRECCIONAL,ASFALTO,0,0,0,1,1
-70.6836283456829,-33.5489838422801,1807,408 GENERAL KORNER,EL BOSQUE, , ,2017,1,13105,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131050238,0,GENERAL KORNER, ,408,2, ,1,UNIDIRECCIONAL,CONCRETO,1,0,0,0,1
-70.6836197406385,-33.5469998532523,1808,VICTOR PLAZA MAYORGA @ ANTONIO BORQUEZ DEL SOLAR,EL BOSQUE, , ,2017,1,13105,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,14,CRUCE CON SEÑAL PARE,131050859,131050046,VICTOR PLAZA MAYORGA,ANTONIO BORQUEZ DEL SOLAR, ,1,1,2,BIDIRECCIONAL,CONCRETO,0,1,0,0,1
-70.6835214,-33.5074625,1809,CLOTARIO BLEST @ LO OVALLE,PEDRO AGUIRRE CERDA, , ,2017,1,13121,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131210154,131210323,CLOTARIO BLEST,LO OVALLE, ,1,1,2,BIDIRECCIONAL,ASFALTO,0,1,0,0,1
-70.6834752430204,-33.500008046702,1810,FRATERNAL @ MAIPU,PEDRO AGUIRRE CERDA, , ,2017,1,13121,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131210217,131210362,FRATERNAL,MAIPU, ,2, ,1,UNIDIRECCIONAL,ASFALTO,1,0,0,0,1
